codigoFipe,modelo,anoModelo1,anoReferencia1,valor1,anoModelo2,anoReferencia2,valor2
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,111024.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,105439.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,107696.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2008,117533.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,116373.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2008,107945.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2010,114990.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2008,116638.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,83844.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2008,108724.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2008,116824.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,108779.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,107074.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,105137.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,108179.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,87802.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,104131.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2005,83767.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,117018.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,107929.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,118321.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2008,115281.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2009,96155.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,111998.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,107339.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,105333.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,114438.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,105208.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,113272.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,117647.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,106258.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2008,115266.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2010,110957.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,106510.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,108450.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2005,84167.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,112109.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,119729.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2008,118121.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,118262.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,105666.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2007,2009,76489.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2008,105142.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2008,105365.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2008,114763.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2008,119210.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2008,118120.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2009,101725.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,117706.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2008,107986.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,116816.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,104055.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2008,115938.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,101875.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,101783.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2009,101460.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2010,107850.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,84000.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2008,112706.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2008,112350.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2010,106020.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2008,116689.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,101845.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,111184.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,86649.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2010,109020.0
